producto,descripcion,codigo_cliente,resina_1,categoria,estado
4023000201,CAP CLOSING CAP,40230-002-01,NORYL SE100X GRIS 780,PFA00,Activo
4056500301,MAIN BASE,40565-003-01,NORYL SE1X 701  BK,PFA00,Activo
4056505701,20 CIRCUIT HOM-BRANCH,40565-057-01,NORYL SE1X 701  BK,PFA00,Activo
8003418702,1.5 BLANK FILLER,80034-187-02,NORYL SE1X 701  BK,PFA00,Activo
004-01-F-MTZ1,CORE JACKET 004-01,63160-004-01,RYNITE 935 BK 505,PFA00,Activo
004-02-F-MTZ1,CORE JACKET 004-02,63160-004-02,RYNITE 935 BK 505,PFA00,Activo
004-06-F-MTZ1,CORE JACKET 004-06,63160-004-06,RYNITE 935 BK 505,PFA00,Activo
004-07-F-MTZ1,CORE JACKET 004-07,63160-004-07,RYNITE 935 BK 505,PFA00,Activo
004-08-F-MTZ1,CORE JACKET 004-08,63160-004-08,RYNITE 935 BK 505,PFA00,Activo
004-09-F-MTZ1,CORE JACKET 004-09,63160-004-09,RYNITE 935 BK 505,PFA00,Activo
004-10-F-MTZ1,CORE JACKET 004-10,63160-004-10,RYNITE 935 BK 505,PFA00,Activo
004-11-F-MTZ1,CORE JACKET 004-11,63160-004-11,RYNITE 935 BK 505,PFA00,Activo
004-12-F-MTZ1,CORE JACKET 004-12,63160-004-12,RYNITE 935 BK 505,PFA00,Activo
004-13-F-MTZ1,CORE JACKET 004-13,63160-004-13,RYNITE 935 BK 505,PFA00,Activo
004-14-F-MTZ1,CORE JACKET 004-14,63160-004-14,RYNITE 935 BK 505,PFA00,Activo
004-15-F-MTZ1,CORE JACKET 004-15,63160-004-15,RYNITE 935 BK 505,PFA00,Activo
004-16-F-MTZ1,CORE JACKET 004-16,63160-004-16,RYNITE 935 BK 505,PFA00,Activo
004-17-F-MTZ1,CORE JACKET 004-17,63160-004-17,RYNITE 935 BK 505,PFA00,Activo
004-18-F-MTZ1,CORE JACKET 004-18,63160-004-18,RYNITE 935 BK 505,PFA00,Activo
005-11-F-HTZ1,CASE HALF 005-11,63160-005-11,LEXAN PC 141 601 RD ,PFA00,Activo
005-51-A-HTZ1,CASE BODY W/PINS,63165-005-51,RYNITE 935 BK 505,PFB00,Activo
005-51-SEMI-HTZ1,CASE BODY W/PINS SEMITERMINADO,63165-005-51,RYNITE 935 BK 505,SFA00,Activo
005-52-A-HTZ1,CASE COVER 005-52,63165-005-52,RYNITE 935 BK 505,PFB00,Activo
005-52-SEMI-HTZ1,CASE COVER 005-52 SEMITERMINAD,63165-005-52,RYNITE 935 BK 505,SFA00,Activo
006-MT-F-Z1,HOUSING 006,31133-006-01,VALOX 553 GRIS 8051,PFA00,Activo
010949-ISR-F-Z1,LHD EXT. SEAT CUSHION PLASTIC ,010949-02,POLYFORT FPP 1697HU -3399 NERO,PFA00,Activo
010950-ISR-F-Z1,LHD EXT. SEAT CUSHION PLASTIC ,010950-02,POLYFORT FPP 1697HU -3399 NERO,PFA00,Activo
010951-ISR-F-Z1,LH INT. SEAT CUSHION PLASTIC C,010951-02,POLYFORT FPP 1697HU -3399 NERO,PFA00,Activo
010952-02-ISR-F-Z1,RH INT. SEAT CUSHION PLASTIC C,010952-02,POLYFORT FPP 1697HU -3399 NERO,PFA00,Activo
010953-MX-F-Z1,LH SEAT PRETENSIOMETER PLASTIC,010953-02,POLYFORT FPP 1697HU -3399 NERO,PFA00,Activo
010954-02-ISR-F-Z1,RH SEAT PRETENSIOMETER PLASTIC,010954-02-ISR-F-Z1,POLYFORT FPP 1697HU -3399 NERO,PFA00,Activo
011071-02-ISR-F-Z1,LH PRETENSIONER PLASTIC COVER,011071-02,POLYFORT FPP 1697HU -3399 NERO,PFA00,Activo
012871-03MX-ISR-F-Z1,SHROUD,012871-03MX/00,POLYFORT FPP 2310-01 NATURAL,PFA00,Activo
015198MX-ISR-F-Z1,PLATE,015198MX,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-01MX-ISR-F-Z1,Side Cover LH Gray,016305-01MX/01,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-02MX-ISR-F-Z1,Side Cover LH Gray,016305-02MX/01,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-03MX-ISR-F-Z1,Side Cover LH Gray,016305-03MX/00,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-05MX-ISR-F-Z1,Side Cover LH Gracy,016305-05MX/01,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-06MX-ISR-F-Z1,Side Cover LH Gray,016305-06MX/01,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-07MX-ISR-F-Z1,Side Cover LH Black,016305-07MX/01,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-08MX-ISR-F-Z1,Side Cover LH Black,016305-08MX/01,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-09MX-ISR-F-Z1,Side Cover LH Black,016305-09MX/01,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-14MX-ISR-F-Z1,SIDE COVER LH  BLACK,016305-14MX/01,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-15MX-ISR-F-Z1,SIDE COVER LH BLACK,016305-15MX/01,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-16MX-ISR-F-Z1,SIDE COVER LH BENEKE,016305-16MX/01,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-17MX-ISR-F-Z1,SIDE COVER LH BENEKE,016305-17MX/01,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016305-18MX-ISR-F-Z2,SIDE COVER LH Black,016305-18MX/01,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
